Data,Título,Link
29/12/2020 ," 'Miners out, Covid out': threats to indigenous reserve in Brazil grow",https://terrasindigenas.org.br/pt-br/noticia/209696
26/11/2020 ," PF encontra ouro em lixeira durante operação contra garimpo ilegal na Terra Yanomami, em RR",https://terrasindigenas.org.br/pt-br/noticia/209346
19/11/2020 , Casos de covid,https://terrasindigenas.org.br/pt-br/noticia/209244
29/10/2020 ," PF faz operação, mas garimpeiro acusado de matar dois Yanomami continua foragido",https://terrasindigenas.org.br/pt-br/noticia/208947
23/09/2020 ," Coronavírus atinge mais de 700 indígenas Yanomami: 'estamos abandonados', diz liderança de RR",https://terrasindigenas.org.br/pt-br/noticia/208440
15/09/2020 , Corrida do ouro movimenta o mercado de mercúrio em Roraima,https://terrasindigenas.org.br/pt-br/noticia/210054
31/07/2020 ," Garimpo gera problemas sanitários, ambientais e culturais em terras indígenas",https://terrasindigenas.org.br/pt-br/noticia/207632
29/07/2020 , Yanomami se arriscam na pandemia em busca de auxílio emergencial,https://terrasindigenas.org.br/pt-br/noticia/207660
13/07/2020 , Ministério da Saúde contrata empresa suspeita de atuar em garimpo ilegal em terra indígena,https://terrasindigenas.org.br/pt-br/noticia/207343
13/07/2020 , Anac abre processo para apurar 'possíveis irregularidades' de empresa de táxi aéreo suspeita de atuar em garimpo ilegal,https://terrasindigenas.org.br/pt-br/noticia/207355
28/06/2020 , Crianças Yanomami: Três corpos de bebês estão em cemitério e um no IML de Boa Vista (RR),https://terrasindigenas.org.br/pt-br/noticia/207113
25/06/2020 , Amazon gold rush: illegal mining threatens Brazil's last major isolated tribe,https://terrasindigenas.org.br/pt-br/noticia/207424
16/06/2020 , Yanomamis e CNDH vão à comissão da OEA para pedir expulsão de garimpeiros,https://terrasindigenas.org.br/pt-br/noticia/206923
26/05/2020 , Força,https://terrasindigenas.org.br/pt-br/noticia/206479
28/04/2020 ," Para escapar do coronavírus, Yanomami se refugiam no interior da floresta",https://terrasindigenas.org.br/pt-br/noticia/206144
